version,2.2.0
info,balls_per_over,5
info,team,London Spirit
info,team,Oval Invincibles
info,gender,male
info,season,2023
info,date,2023/08/02
info,event,The Hundred Men's Competition
info,match_number,3
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Oval Invincibles
info,toss_decision,field
info,player_of_match,SP Narine
info,umpire,GD Lloyd
info,umpire,M Burns
info,reserve_umpire,PR Pollard
info,tv_umpire,SJ O'Shaughnessy
info,match_referee,WR Smith
info,winner,Oval Invincibles
info,winner_wickets,3
info,player,London Spirit,DW Lawrence
info,player,London Spirit,AM Rossington
info,player,London Spirit,MS Pepper
info,player,London Spirit,MS Wade
info,player,London Spirit,DJ Mitchell
info,player,London Spirit,RS Bopara
info,player,London Spirit,MJJ Critchley
info,player,London Spirit,JA Thompson
info,player,London Spirit,LA Dawson
info,player,London Spirit,NT Ellis
info,player,London Spirit,DJ Worrall
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,H Klaasen
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,SP Narine
info,player,Oval Invincibles,AAP Atkinson
info,player,Oval Invincibles,ZJ Chappell
info,player,Oval Invincibles,NA Sowter
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GD Lloyd,36e0770d
info,registry,people,H Klaasen,235c2bb6
info,registry,people,JA Thompson,1d2f290a
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JM Cox,ff154ecd
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Burns,b3bd0666
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Pepper,270e4c23
info,registry,people,MS Wade,afa7e784
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,NT Ellis,9eb1455b
info,registry,people,PR Pollard,85d884bb
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SM Curran,e94915e6
info,registry,people,SP Narine,9d430b40
info,registry,people,SW Billings,c16d4035
info,registry,people,TK Curran,e86754b2
info,registry,people,WG Jacks,9caf69a1
info,registry,people,WR Smith,ad962377
info,registry,people,ZJ Chappell,fe5b4367
