version,2.2.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Welsh Fire
info,gender,male
info,season,2023
info,date,2023/08/04
info,event,The Hundred Men's Competition
info,match_number,5
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Welsh Fire
info,toss_decision,field
info,player_of_match,CJ Jordan
info,umpire,BJ Debenham
info,umpire,James Middlebrook
info,reserve_umpire,Mark Newell
info,tv_umpire,PK Baldwin
info,match_referee,WR Smith
info,winner,Southern Brave
info,winner_runs,2
info,player,Southern Brave,FH Allen
info,player,Southern Brave,DP Conway
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,GHS Garton
info,player,Southern Brave,TH David
info,player,Southern Brave,JK Fuller
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,C Overton
info,player,Southern Brave,TS Mills
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,SS Eskinazi
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,BGF Green
info,player,Welsh Fire,RE van der Merwe
info,player,Welsh Fire,Haris Rauf
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,Shaheen Shah Afridi
info,registry,people,BGF Green,34b37279
info,registry,people,BJ Debenham,524a3a82
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,GHS Garton,be869ccf
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JK Fuller,dda5aae5
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JM Vince,a15618fe
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,LWP Wells,1957c6b7
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RE van der Merwe,05c2ca46
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TB Abell,ba9258a7
info,registry,people,TH David,f1f99156
info,registry,people,TS Mills,245c97cb
info,registry,people,WR Smith,ad962377
