version,2.2.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Northern Superchargers
info,gender,male
info,season,2023
info,date,2023/08/11
info,event,The Hundred Men's Competition
info,match_number,15
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Oval Invincibles
info,toss_decision,bat
info,player_of_match,JM Cox
info,umpire,RJ Warren
info,umpire,SJ O'Shaughnessy
info,reserve_umpire,N Pratt
info,tv_umpire,GD Lloyd
info,match_referee,AM Smith (2)
info,winner,Oval Invincibles
info,winner_runs,9
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,H Klaasen
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,RA Whiteley
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,SP Narine
info,player,Oval Invincibles,AAP Atkinson
info,player,Oval Invincibles,SH Johnson
info,player,Oval Invincibles,NA Sowter
info,player,Northern Superchargers,T Banton
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,SA Zaib
info,player,Northern Superchargers,D Wiese
info,player,Northern Superchargers,BA Carse
info,player,Northern Superchargers,WD Parnell
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,CF Parkinson
info,player,Northern Superchargers,RJW Topley
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AJ Hose,104e88a4
info,registry,people,AM Smith,a0bc360f
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,D Wiese,aa8d28ae
info,registry,people,GD Lloyd,36e0770d
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HC Brook,4ae1755b
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,JM Cox,ff154ecd
info,registry,people,MW Short,a90e53ec
info,registry,people,N Pratt,01f65cd3
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,RA Whiteley,d346d939
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,RJW Topley,8db7f47f
info,registry,people,SA Zaib,ab01e323
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SM Curran,e94915e6
info,registry,people,SP Narine,9d430b40
info,registry,people,SW Billings,c16d4035
info,registry,people,T Banton,25f7b7d6
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,WG Jacks,9caf69a1
