version,2.2.0
info,balls_per_over,5
info,team,London Spirit
info,team,Northern Superchargers
info,gender,male
info,season,2023
info,date,2023/08/18
info,event,The Hundred Men's Competition
info,match_number,24
info,venue,"Lord's, London"
info,city,London
info,toss_winner,Northern Superchargers
info,toss_decision,field
info,player_of_match,RS Bopara
info,umpire,N Pratt
info,umpire,NJ Llong
info,reserve_umpire,AC Harris
info,tv_umpire,M Burns
info,match_referee,SJ Davis
info,winner,London Spirit
info,winner_runs,13
info,player,London Spirit,Z Crawley
info,player,London Spirit,AM Rossington
info,player,London Spirit,DW Lawrence
info,player,London Spirit,MS Wade
info,player,London Spirit,DJ Mitchell
info,player,London Spirit,RS Bopara
info,player,London Spirit,MJJ Critchley
info,player,London Spirit,JA Thompson
info,player,London Spirit,LA Dawson
info,player,London Spirit,NT Ellis
info,player,London Spirit,DJ Worrall
info,player,Northern Superchargers,A Lyth
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,T Banton
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,SA Zaib
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,D Wiese
info,player,Northern Superchargers,WD Parnell
info,player,Northern Superchargers,MJ Potts
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,RJW Topley
info,registry,people,A Lyth,70b8fd28
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AJ Hose,104e88a4
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AU Rashid,249d60c9
info,registry,people,D Wiese,aa8d28ae
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,HC Brook,4ae1755b
info,registry,people,JA Thompson,1d2f290a
info,registry,people,LA Dawson,4a461c24
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJJ Critchley,c5cc48bc
info,registry,people,MS Wade,afa7e784
info,registry,people,MW Short,a90e53ec
info,registry,people,N Pratt,01f65cd3
info,registry,people,NJ Llong,573fb985
info,registry,people,NT Ellis,9eb1455b
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,SA Zaib,ab01e323
info,registry,people,SJ Davis,bc71b0b2
info,registry,people,T Banton,25f7b7d6
info,registry,people,WD Parnell,3a60e0b5
info,registry,people,Z Crawley,922e1b19
