version,2.2.0
info,balls_per_over,5
info,team,Trent Rockets
info,team,Oval Invincibles
info,gender,male
info,season,2023
info,date,2023/08/21
info,event,The Hundred Men's Competition
info,match_number,29
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Trent Rockets
info,toss_decision,bat
info,player_of_match,SW Billings
info,umpire,PR Pollard
info,umpire,Rob White
info,reserve_umpire,AC Harris
info,tv_umpire,NJ Llong
info,match_referee,DA Cosker
info,winner,Oval Invincibles
info,winner_wickets,5
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,T Kohler-Cadmore
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,C Munro
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,DR Sams
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,M Carter
info,player,Trent Rockets,IS Sodhi
info,player,Trent Rockets,SJ Cook
info,player,Oval Invincibles,JJ Roy
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,JDS Neesham
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,SH Johnson
info,player,Oval Invincibles,AAP Atkinson
info,registry,people,A Zampa,14f96089
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AC Harris,ef14c0ec
info,registry,people,AD Hales,92aeac25
info,registry,people,C Munro,af2c687b
info,registry,people,DA Cosker,aac9f784
info,registry,people,DR Sams,caf69bf7
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JE Root,a343262c
info,registry,people,JJ Roy,d1c36f5c
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,M Carter,1ca7c00f
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,NJ Llong,573fb985
info,registry,people,PR Pollard,85d884bb
info,registry,people,Rob White,59b91222
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SJ Cook,679cd31e
info,registry,people,SM Curran,e94915e6
info,registry,people,SR Hain,67b9536c
info,registry,people,SW Billings,c16d4035
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TK Curran,e86754b2
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
