version,2.2.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Southern Brave
info,gender,male
info,season,2023
info,date,2023/08/23
info,event,The Hundred Men's Competition
info,match_number,31
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Southern Brave
info,toss_decision,field
info,player_of_match,DP Conway
info,umpire,AG Wharf
info,umpire,BJ Debenham
info,reserve_umpire,Hassan Adnan
info,tv_umpire,DJ Millns
info,match_referee,Wayne Noon
info,winner,Southern Brave
info,winner_wickets,6
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,JC Buttler
info,player,Manchester Originals,LJ Evans
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,AJ Turner
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,CG Harrison
info,player,Manchester Originals,JC Tongue
info,player,Manchester Originals,Zaman Khan
info,player,Southern Brave,FH Allen
info,player,Southern Brave,DP Conway
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,JJ Weatherley
info,player,Southern Brave,CN Ackermann
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,MJ Santner
info,player,Southern Brave,GHS Garton
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,TS Mills
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,BJ Debenham,524a3a82
info,registry,people,CG Harrison,f655d740
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,CN Ackermann,e734d090
info,registry,people,DJ Millns,46ecfe40
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GHS Garton,be869ccf
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,J Overton,59559bc2
info,registry,people,JC Buttler,99b75528
info,registry,people,JC Tongue,1f1b4c89
info,registry,people,JJ Weatherley,a05d0552
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Vince,a15618fe
info,registry,people,LJ Evans,1c513d54
info,registry,people,MJ Santner,e4a0deae
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,TS Mills,245c97cb
info,registry,people,TW Hartley,22b98d7c
info,registry,people,WL Madsen,86e0f3f0
info,registry,people,Wayne Noon,736e1761
info,registry,people,Zaman Khan,28392e11
