version,2.2.0
info,balls_per_over,5
info,team,Manchester Originals
info,team,Welsh Fire
info,gender,male
info,season,2024
info,date,2024/07/25
info,event,The Hundred Men's Competition
info,match_number,3
info,venue,"Old Trafford, Manchester"
info,city,Manchester
info,toss_winner,Welsh Fire
info,toss_decision,field
info,player_of_match,DJ Willey
info,umpire,PR Pollard
info,umpire,SJ O'Shaughnessy
info,reserve_umpire,Naeem Ashraf
info,tv_umpire,NJ Llong
info,match_referee,WR Smith
info,winner,Welsh Fire
info,winner_wickets,8
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,Sikandar Raza
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,SW Currie
info,player,Manchester Originals,Fazalhaq Farooqi
info,player,Manchester Originals,J Hull
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,JM Bairstow
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,MS Crane
info,player,Welsh Fire,J Little
info,player,Welsh Fire,JT Ball
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,J Hull,1cc0a83d
info,registry,people,J Little,9061a703
info,registry,people,J Overton,59559bc2
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MDE Holden,d34a2268
info,registry,people,MS Crane,f0a0204e
info,registry,people,NJ Llong,573fb985
info,registry,people,Naeem Ashraf,1866938c
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,PR Pollard,85d884bb
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SW Currie,c5f40e35
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WL Madsen,86e0f3f0
info,registry,people,WR Smith,ad962377
