version,2.2.0
info,balls_per_over,5
info,team,Oval Invincibles
info,team,Welsh Fire
info,gender,male
info,season,2024
info,date,2024/07/28
info,event,The Hundred Men's Competition
info,match_number,6
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Welsh Fire
info,toss_decision,field
info,player_of_match,A Zampa
info,umpire,ID Blackwell
info,umpire,SJ O'Shaughnessy
info,reserve_umpire,Mark Newell
info,tv_umpire,S Redfern
info,match_referee,Wayne Noon
info,winner,Oval Invincibles
info,winner_runs,10
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,DJ Malan
info,player,Oval Invincibles,TS Muyeye
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,D Ferreira
info,player,Oval Invincibles,TA Lammonby
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,SH Johnson
info,player,Oval Invincibles,S Mahmood
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,JM Bairstow
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,MS Crane
info,player,Welsh Fire,J Little
info,player,Welsh Fire,JT Ball
info,registry,people,A Zampa,14f96089
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DJ Willey,7f048519
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,ID Blackwell,818e8bf2
info,registry,people,J Little,9061a703
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Clarke,2eca67f5
info,registry,people,JT Ball,3d0ed2f9
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MS Crane,f0a0204e
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,S Mahmood,0f6db197
info,registry,people,S Redfern,5b038989
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SJ O'Shaughnessy,4d4fdf4a
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TA Lammonby,73f1f6b0
info,registry,people,TB Abell,ba9258a7
info,registry,people,TS Muyeye,10b79140
info,registry,people,WG Jacks,9caf69a1
info,registry,people,Wayne Noon,736e1761
