version,2.2.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Northern Superchargers
info,gender,male
info,season,2024
info,date,2024/07/30
info,event,The Hundred Men's Competition
info,match_number,8
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Southern Brave
info,toss_decision,bat
info,player_of_match,N Pooran
info,umpire,MJ Saggers
info,umpire,PR Pollard
info,reserve_umpire,JD Shantry
info,tv_umpire,NL Bainton
info,match_referee,JJ Whitaker
info,winner,Northern Superchargers
info,winner_wickets,7
info,player,Southern Brave,AL Davies
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,JM Coles
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,Rehan Ahmed
info,player,Southern Brave,KA Pollard
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,JC Archer
info,player,Southern Brave,AJ Hosein
info,player,Southern Brave,TS Mills
info,player,Northern Superchargers,G Clark
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,N Pooran
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,OG Robinson
info,player,Northern Superchargers,MJ Santner
info,player,Northern Superchargers,J Clark
info,player,Northern Superchargers,MJ Potts
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,CF Parkinson
info,registry,people,AJ Hose,104e88a4
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AL Davies,29ede60b
info,registry,people,AU Rashid,249d60c9
info,registry,people,CF Parkinson,aa1210d8
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,G Clark,4fd09cfc
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Clark,c672e80e
info,registry,people,JC Archer,5574750c
info,registry,people,JD Shantry,70fdd428
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LJ Evans,1c513d54
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Saggers,402d5937
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MW Short,a90e53ec
info,registry,people,N Pooran,3241e3fd
info,registry,people,NL Bainton,cd219cb3
info,registry,people,OG Robinson,60f4c586
info,registry,people,PR Pollard,85d884bb
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,TS Mills,245c97cb
