version,2.2.0
info,balls_per_over,5
info,team,Birmingham Phoenix
info,team,Trent Rockets
info,gender,male
info,season,2024
info,date,2024/07/31
info,event,The Hundred Men's Competition
info,match_number,9
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,Trent Rockets
info,toss_decision,field
info,player_of_match,DR Mousley
info,umpire,AG Wharf
info,umpire,BJ Debenham
info,reserve_umpire,N Pratt
info,tv_umpire,NL Bainton
info,match_referee,JJ Whitaker
info,winner,Birmingham Phoenix
info,winner_runs,6
info,player,Birmingham Phoenix,AHT Donald
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,LPJ Kimber
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,player,Trent Rockets,T Banton
info,player,Trent Rockets,AD Hales
info,player,Trent Rockets,JE Root
info,player,Trent Rockets,SR Hain
info,player,Trent Rockets,R Powell
info,player,Trent Rockets,L Gregory
info,player,Trent Rockets,Rashid Khan
info,player,Trent Rockets,Imad Wasim
info,player,Trent Rockets,JA Thompson
info,player,Trent Rockets,L Wood
info,player,Trent Rockets,SJ Cook
info,registry,people,AD Hales,92aeac25
info,registry,people,AF Milne,350bb1b1
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AHT Donald,72918338
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BM Duckett,5f26f677
info,registry,people,DR Mousley,876dbe2d
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,JA Thompson,1d2f290a
info,registry,people,JE Root,a343262c
info,registry,people,JG Bethell,3c55c703
info,registry,people,JJ Whitaker,4ea85016
info,registry,people,L Gregory,06c2de82
info,registry,people,L Wood,65b6943c
info,registry,people,LPJ Kimber,9f812582
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,N Pratt,01f65cd3
info,registry,people,NL Bainton,cd219cb3
info,registry,people,R Powell,650d5e49
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SJ Cook,679cd31e
info,registry,people,SR Hain,67b9536c
info,registry,people,T Banton,25f7b7d6
info,registry,people,TG Southee,13c35c9e
