version,2.2.0
info,balls_per_over,5
info,team,Welsh Fire
info,team,London Spirit
info,gender,male
info,season,2024
info,date,2024/08/01
info,event,The Hundred Men's Competition
info,match_number,10
info,venue,"Lord's, London"
info,city,London
info,toss_winner,London Spirit
info,toss_decision,field
info,player_of_match,LA Dawson
info,umpire,MJ Saggers
info,umpire,PR Pollard
info,reserve_umpire,Stephen Harris
info,tv_umpire,NJ Llong
info,match_referee,AM Smith
info,winner,London Spirit
info,winner_wickets,3
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,JM Bairstow
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,MJ Henry
info,player,Welsh Fire,MS Crane
info,player,Welsh Fire,Haris Rauf
info,player,London Spirit,MS Pepper
info,player,London Spirit,AM Rossington
info,player,London Spirit,OJ Pope
info,player,London Spirit,DW Lawrence
info,player,London Spirit,RS Bopara
info,player,London Spirit,SO Hetmyer
info,player,London Spirit,AD Russell
info,player,London Spirit,LA Dawson
info,player,London Spirit,OP Stone
info,player,London Spirit,NT Ellis
info,player,London Spirit,DJ Worrall
info,registry,people,AD Russell,bbd41817
info,registry,people,AM Rossington,7bcde3fe
info,registry,people,AM Smith,a0bc360f
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DJ Worrall,208f22ea
info,registry,people,DW Lawrence,4b685e2d
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Clarke,2eca67f5
info,registry,people,LA Dawson,4a461c24
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Saggers,402d5937
info,registry,people,MS Crane,f0a0204e
info,registry,people,MS Pepper,270e4c23
info,registry,people,NJ Llong,573fb985
info,registry,people,NT Ellis,9eb1455b
info,registry,people,OJ Pope,e94bc520
info,registry,people,OP Stone,3f659464
info,registry,people,PR Pollard,85d884bb
info,registry,people,RS Bopara,7ca5e05d
info,registry,people,SO Hetmyer,48a1d7b7
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
