version,2.2.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Oval Invincibles
info,gender,male
info,season,2024
info,date,2024/08/02
info,event,The Hundred Men's Competition
info,match_number,12
info,venue,"Kennington Oval, London"
info,city,London
info,toss_winner,Oval Invincibles
info,toss_decision,field
info,player_of_match,N Pooran
info,umpire,GD Lloyd
info,umpire,M Burns
info,reserve_umpire,Hassan Adnan
info,tv_umpire,MJ Saggers
info,match_referee,DA Cosker
info,winner,Northern Superchargers
info,winner_runs,19
info,player,Northern Superchargers,MW Short
info,player,Northern Superchargers,G Clark
info,player,Northern Superchargers,N Pooran
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,OG Robinson
info,player,Northern Superchargers,MJ Santner
info,player,Northern Superchargers,J Clark
info,player,Northern Superchargers,MJ Potts
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,DY Pennington
info,player,Oval Invincibles,WG Jacks
info,player,Oval Invincibles,DJ Malan
info,player,Oval Invincibles,JM Cox
info,player,Oval Invincibles,SW Billings
info,player,Oval Invincibles,SM Curran
info,player,Oval Invincibles,D Ferreira
info,player,Oval Invincibles,TK Curran
info,player,Oval Invincibles,NA Sowter
info,player,Oval Invincibles,A Zampa
info,player,Oval Invincibles,SH Johnson
info,player,Oval Invincibles,S Mahmood
info,registry,people,A Zampa,14f96089
info,registry,people,AJ Hose,104e88a4
info,registry,people,AU Rashid,249d60c9
info,registry,people,D Ferreira,f0af99a7
info,registry,people,DA Cosker,aac9f784
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DY Pennington,219cc59e
info,registry,people,G Clark,4fd09cfc
info,registry,people,GD Lloyd,36e0770d
info,registry,people,HC Brook,4ae1755b
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,J Clark,c672e80e
info,registry,people,JM Cox,ff154ecd
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Saggers,402d5937
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MW Short,a90e53ec
info,registry,people,N Pooran,3241e3fd
info,registry,people,NA Sowter,ee0c05c0
info,registry,people,OG Robinson,60f4c586
info,registry,people,S Mahmood,0f6db197
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,SM Curran,e94915e6
info,registry,people,SW Billings,c16d4035
info,registry,people,TE Lawes,fe2ac1a8
info,registry,people,TK Curran,e86754b2
info,registry,people,WG Jacks,9caf69a1
