version,2.2.0
info,balls_per_over,5
info,team,Southern Brave
info,team,Birmingham Phoenix
info,gender,male
info,season,2024
info,date,2024/08/03
info,event,The Hundred Men's Competition
info,match_number,13
info,venue,"Edgbaston, Birmingham"
info,city,Birmingham
info,toss_winner,Birmingham Phoenix
info,toss_decision,field
info,player_of_match,JM Vince
info,umpire,PR Pollard
info,umpire,RJ Warren
info,reserve_umpire,Chris Watts
info,tv_umpire,PK Baldwin
info,match_referee,AJ Swann
info,winner,Southern Brave
info,winner_runs,32
info,player,Southern Brave,AL Davies
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,KA Pollard
info,player,Southern Brave,JM Coles
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,C Overton
info,player,Southern Brave,AJ Hosein
info,player,Southern Brave,JC Archer
info,player,Southern Brave,TS Mills
info,player,Birmingham Phoenix,AHT Donald
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,LPJ Kimber
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,registry,people,AF Milne,350bb1b1
info,registry,people,AHT Donald,72918338
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AJ Swann,f9d218a7
info,registry,people,AL Davies,29ede60b
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BM Duckett,5f26f677
info,registry,people,C Overton,e9987a94
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,Chris Watts,3cfb1554
info,registry,people,DR Mousley,876dbe2d
info,registry,people,JC Archer,5574750c
info,registry,people,JG Bethell,3c55c703
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LJ Evans,1c513d54
info,registry,people,LPJ Kimber,9f812582
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MM Ali,bb351c23
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,PR Pollard,85d884bb
info,registry,people,RJ Warren,9d1c62d7
info,registry,people,SA Abbott,1a2676c5
info,registry,people,TG Southee,13c35c9e
info,registry,people,TS Mills,245c97cb
