version,2.2.0
info,balls_per_over,5
info,team,Northern Superchargers
info,team,Manchester Originals
info,gender,male
info,season,2024
info,date,2024/08/04
info,event,The Hundred Men's Competition
info,match_number,16
info,venue,"Headingley, Leeds"
info,city,Leeds
info,toss_winner,Manchester Originals
info,toss_decision,field
info,player_of_match,HC Brook
info,umpire,James Middlebrook
info,umpire,Rob White
info,reserve_umpire,Mark Newell
info,tv_umpire,NL Bainton
info,match_referee,Phil Whitticase
info,winner,Northern Superchargers
info,winner_runs,14
info,player,Northern Superchargers,OG Robinson
info,player,Northern Superchargers,G Clark
info,player,Northern Superchargers,N Pooran
info,player,Northern Superchargers,HC Brook
info,player,Northern Superchargers,AJ Hose
info,player,Northern Superchargers,BJ Dwarshuis
info,player,Northern Superchargers,MJ Santner
info,player,Northern Superchargers,J Clark
info,player,Northern Superchargers,MJ Potts
info,player,Northern Superchargers,AU Rashid
info,player,Northern Superchargers,RJW Topley
info,player,Manchester Originals,PD Salt
info,player,Manchester Originals,MF Hurst
info,player,Manchester Originals,PI Walter
info,player,Manchester Originals,J Overton
info,player,Manchester Originals,WL Madsen
info,player,Manchester Originals,Sikandar Raza
info,player,Manchester Originals,MDE Holden
info,player,Manchester Originals,Usama Mir
info,player,Manchester Originals,TW Hartley
info,player,Manchester Originals,SW Currie
info,player,Manchester Originals,Fazalhaq Farooqi
info,registry,people,AJ Hose,104e88a4
info,registry,people,AU Rashid,249d60c9
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,G Clark,4fd09cfc
info,registry,people,HC Brook,4ae1755b
info,registry,people,J Clark,c672e80e
info,registry,people,J Overton,59559bc2
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,MDE Holden,d34a2268
info,registry,people,MF Hurst,40e4cf47
info,registry,people,MJ Potts,894b2d25
info,registry,people,MJ Santner,e4a0deae
info,registry,people,Mark Newell,b33f0fa1
info,registry,people,N Pooran,3241e3fd
info,registry,people,NL Bainton,cd219cb3
info,registry,people,OG Robinson,60f4c586
info,registry,people,PD Salt,3d284ca3
info,registry,people,PI Walter,57590dbb
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RJW Topley,8db7f47f
info,registry,people,Rob White,59b91222
info,registry,people,SW Currie,c5f40e35
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,TW Hartley,22b98d7c
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WL Madsen,86e0f3f0
