version,2.2.0
info,balls_per_over,5
info,team,Welsh Fire
info,team,Birmingham Phoenix
info,gender,male
info,season,2024
info,date,2024/08/10
info,event,The Hundred Men's Competition
info,match_number,25
info,venue,"Sophia Gardens, Cardiff"
info,city,Cardiff
info,toss_winner,Welsh Fire
info,toss_decision,bat
info,player_of_match,SA Abbott
info,umpire,BJ Debenham
info,umpire,Rob White
info,reserve_umpire,BJ Peverall
info,tv_umpire,PK Baldwin
info,match_referee,AJ Swann
info,winner,Birmingham Phoenix
info,winner_wickets,5
info,player,Welsh Fire,SS Eskinazi
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,JM Clarke
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,RA Whiteley
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,MJ Henry
info,player,Welsh Fire,Haris Rauf
info,player,Birmingham Phoenix,BM Duckett
info,player,Birmingham Phoenix,MM Ali
info,player,Birmingham Phoenix,JL Smith
info,player,Birmingham Phoenix,LS Livingstone
info,player,Birmingham Phoenix,DR Mousley
info,player,Birmingham Phoenix,JG Bethell
info,player,Birmingham Phoenix,BAC Howell
info,player,Birmingham Phoenix,SA Abbott
info,player,Birmingham Phoenix,AF Milne
info,player,Birmingham Phoenix,TG Southee
info,player,Birmingham Phoenix,CP Wood
info,registry,people,AF Milne,350bb1b1
info,registry,people,AJ Swann,f9d218a7
info,registry,people,BAC Howell,0bec3a6c
info,registry,people,BJ Debenham,524a3a82
info,registry,people,BJ Peverall,3e04e05a
info,registry,people,BM Duckett,5f26f677
info,registry,people,CP Wood,1cfac535
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Mousley,876dbe2d
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,JG Bethell,3c55c703
info,registry,people,JL Smith,c834c290
info,registry,people,JM Clarke,2eca67f5
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MM Ali,bb351c23
info,registry,people,PK Baldwin,6bb53c12
info,registry,people,RA Whiteley,d346d939
info,registry,people,Rob White,59b91222
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
info,registry,people,TG Southee,13c35c9e
