version,2.2.0
info,balls_per_over,5
info,team,Welsh Fire
info,team,Southern Brave
info,gender,male
info,season,2024
info,date,2024/08/14
info,event,The Hundred Men's Competition
info,match_number,30
info,venue,"The Rose Bowl, Southampton"
info,city,Southampton
info,toss_winner,Welsh Fire
info,toss_decision,bat
info,umpire,MJ Saggers
info,umpire,Rob White
info,reserve_umpire,Hassan Adnan
info,tv_umpire,NL Bainton
info,match_referee,AW Smith
info,outcome,no result
info,player,Welsh Fire,SS Eskinazi
info,player,Welsh Fire,JM Bairstow
info,player,Welsh Fire,LWP Wells
info,player,Welsh Fire,T Kohler-Cadmore
info,player,Welsh Fire,GD Phillips
info,player,Welsh Fire,RA Whiteley
info,player,Welsh Fire,DJ Willey
info,player,Welsh Fire,TB Abell
info,player,Welsh Fire,MJ Henry
info,player,Welsh Fire,DA Payne
info,player,Welsh Fire,Haris Rauf
info,player,Southern Brave,AL Davies
info,player,Southern Brave,JM Vince
info,player,Southern Brave,JL du Plooy
info,player,Southern Brave,JM Coles
info,player,Southern Brave,LJ Evans
info,player,Southern Brave,KA Pollard
info,player,Southern Brave,CJ Jordan
info,player,Southern Brave,DR Briggs
info,player,Southern Brave,AJ Hosein
info,player,Southern Brave,JC Archer
info,player,Southern Brave,TS Mills
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AL Davies,29ede60b
info,registry,people,AW Smith,1fd5e04c
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,DA Payne,6c79c098
info,registry,people,DJ Willey,7f048519
info,registry,people,DR Briggs,f3abd0c9
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hassan Adnan,56ca7a8c
info,registry,people,JC Archer,5574750c
info,registry,people,JL du Plooy,6e6fb538
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JM Coles,9c643d7b
info,registry,people,JM Vince,a15618fe
info,registry,people,KA Pollard,a757b0d8
info,registry,people,LJ Evans,1c513d54
info,registry,people,LWP Wells,1957c6b7
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Saggers,402d5937
info,registry,people,NL Bainton,cd219cb3
info,registry,people,RA Whiteley,d346d939
info,registry,people,Rob White,59b91222
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,T Kohler-Cadmore,f836b33d
info,registry,people,TB Abell,ba9258a7
info,registry,people,TS Mills,245c97cb
